seq,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,Dets,GT_Dets,IDs,GT_IDs
MOT_02,0.5403200370082217,0.900457751529912,0.5411821603549425,0.5415606535315516,0.9993015946921197,0.18072289156626506,0.4939759036144578,0.3253012048192771,0.4864118718727608,0.7024410200463658,0.017142857142857144,0.5411482477057695,23191.289390652884,25755,21802,18,41,15,41,27,83.0,1050,25773,47557,99,83
MOT_03,0.484024866271505,0.8403784755011435,0.4879282926124042,0.4976145727916727,0.9809062410943289,0.10526315789473684,0.518796992481203,0.37593984962406013,0.404594869549651,0.6602723959332438,0.08004778972520908,0.48772135842646247,2892.582712674936,3442,3475,67,27,14,69,50,72.0,837,3509,6917,88,133
MOT_04,0.5472300469483569,0.916530344970469,0.5506103286384977,0.5526760563380282,0.9962762356127285,0.2692307692307692,0.5769230769230769,0.15384615384615385,0.5010983671827399,0.7109554293996859,0.02095238095238095,0.5503745967126566,2697.3488052480902,2943,2382,11,18,7,15,4,38.0,525,2954,5325,30,26
MOT_05,0.5223148220266376,0.845468879842148,0.5349326271516474,0.5789391697172677,0.9293573393348337,0.2631578947368421,0.5964912280701754,0.14035087719298245,0.4328507036269715,0.7134424341315928,0.863914373088685,0.5347605331400777,6284.370183866687,7433,5406,565,162,15,34,8,267.0,654,7998,12839,97,57
COMBINED,0.5322833778463063,0.8860988828858717,0.5356975687656599,0.5447974889176465,0.9835711090122782,0.1705685618729097,0.5317725752508361,0.2976588628762542,0.47023033525761443,0.7012013608335105,0.21559034572733202,0.5356646045915248,35065.5910924426,39573,33065,661,248,51,159,89,460.0,3066,40234,72638,314,299
